ID,Age,Category,Day,gender,tripduration
0,1930 - 1934,0,01,0,0.0
1,1930 - 1934,0,01,1,0.0
2,1930 - 1934,0,01,2,587.25
3,1930 - 1934,0,02,0,0.0
4,1930 - 1934,0,02,1,0.0
5,1930 - 1934,0,02,2,256.0
6,1930 - 1934,0,03,0,430.0
7,1930 - 1934,0,03,1,625.0
8,1930 - 1934,0,03,2,810.0
9,1930 - 1934,0,04,0,0.0
10,1930 - 1934,0,04,1,0.0
11,1930 - 1934,0,04,2,817.6
12,1930 - 1934,0,05,0,0.0
13,1930 - 1934,0,05,1,0.0
14,1930 - 1934,0,05,2,639.0
15,1930 - 1934,0,06,0,0.0
16,1930 - 1934,0,06,1,696.0
17,1930 - 1934,0,06,2,651.9
18,1930 - 1934,0,07,0,0.0
19,1930 - 1934,0,07,1,0.0
20,1930 - 1934,0,07,2,296.0
21,1930 - 1934,0,08,0,470.0
22,1930 - 1934,0,08,1,0.0
23,1930 - 1934,0,08,2,897.8
24,1930 - 1934,0,09,0,722.0
25,1930 - 1934,0,09,1,0.0
26,1930 - 1934,0,09,2,0.0
27,1930 - 1934,0,10,0,0.0
28,1930 - 1934,0,10,1,0.0
29,1930 - 1934,0,10,2,784.0
30,1930 - 1934,0,11,0,0.0
31,1930 - 1934,0,11,1,0.0
32,1930 - 1934,0,11,2,716.4
33,1930 - 1934,0,12,0,444.0
34,1930 - 1934,0,12,1,0.0
35,1930 - 1934,0,12,2,571.0
36,1930 - 1934,0,13,0,0.0
37,1930 - 1934,0,13,1,0.0
38,1930 - 1934,0,13,2,661.285714286
39,1930 - 1934,0,14,0,0.0
40,1930 - 1934,0,14,1,0.0
41,1930 - 1934,0,14,2,517.181818182
42,1930 - 1934,0,15,0,0.0
43,1930 - 1934,0,15,1,0.0
44,1930 - 1934,0,15,2,341.5
45,1930 - 1934,0,16,0,0.0
46,1930 - 1934,0,16,1,0.0
47,1930 - 1934,0,16,2,583.75
48,1930 - 1934,0,17,0,0.0
49,1930 - 1934,0,17,1,0.0
50,1930 - 1934,0,17,2,646.5
51,1930 - 1934,0,18,0,0.0
