ID,Day,Hour,count
0,01,00,329
1,01,01,146
2,01,02,86
3,01,03,32
4,01,04,72
5,01,05,372
6,01,06,1404
7,01,07,3200
8,01,08,5657
9,01,09,3692
10,01,10,2130
11,01,11,1923
12,01,12,2198
13,01,13,2303
14,01,14,2387
15,01,15,2624
16,01,16,3273
17,01,17,4848
18,01,18,4566
19,01,19,2595
20,01,20,1179
21,01,21,266
22,01,22,184
23,01,23,98
24,02,00,29
25,02,01,33
26,02,02,3
27,02,03,5
28,02,04,15
29,02,05,95
30,02,06,259
31,02,07,441
32,02,08,694
33,02,09,444
34,02,10,257
35,02,11,183
36,02,12,179
37,02,13,201
38,02,14,258
39,02,15,321
40,02,16,394
41,02,17,531
42,02,18,410
43,02,19,543
44,02,20,496
45,02,21,408
46,02,22,357
47,02,23,299
48,03,00,208
49,03,01,150
50,03,02,99
51,03,03,53
52,03,04,47
53,03,05,42
54,03,06,185
55,03,07,455
56,03,08,883
57,03,09,1341
58,03,10,1823
59,03,11,2286
60,03,12,2608
61,03,13,2809
62,03,14,2580
63,03,15,2556
64,03,16,2483
65,03,17,2093
66,03,18,1780
67,03,19,1338
68,03,20,845
69,03,21,678
70,03,22,566
71,03,23,456
72,04,00,426
73,04,01,293
74,04,02,187
75,04,03,116
76,04,04,54
77,04,05,52
78,04,06,108
79,04,07,366
80,04,08,702
81,04,09,1163
82,04,10,1659
83,04,11,2071
84,04,12,2328
85,04,13,2313
86,04,14,2232
87,04,15,2297
88,04,16,2209
89,04,17,1979
90,04,18,1539
91,04,19,1220
92,04,20,712
93,04,21,523
94,04,22,408
95,04,23,305
96,05,00,240
97,05,01,80
98,05,02,50
99,05,03,30
100,05,04,59
101,05,05,307
102,05,06,1136
103,05,07,2321
104,05,08,4051
105,05,09,2664
106,05,10,1440
107,05,11,1248
108,05,12,1548
109,05,13,1504
110,05,14,1694
111,05,15,1870
112,05,16,2397
113,05,17,4028
114,05,18,3951
115,05,19,2409
116,05,20,1573
117,05,21,1074
118,05,22,723
119,05,23,377
120,06,00,200
121,06,01,84
122,06,02,42
123,06,03,38
124,06,04,47
125,06,05,340
126,06,06,1279
127,06,07,2819
128,06,08,4986
129,06,09,3308
130,06,10,1713
131,06,11,1645
132,06,12,1872
133,06,13,2028
134,06,14,2144
135,06,15,2212
136,06,16,2689
137,06,17,4343
138,06,18,4096
139,06,19,2610
140,06,20,1713
141,06,21,1241
142,06,22,812
143,06,23,427
144,07,00,232
145,07,01,77
146,07,02,18
147,07,03,18
148,07,04,37
149,07,05,145
150,07,06,466
151,07,07,953
152,07,08,2055
153,07,09,998
154,07,10,525
155,07,11,375
156,07,12,268
157,07,13,200
158,07,14,275
159,07,15,217
160,07,16,214
161,07,17,203
162,07,18,206
163,07,19,167
164,07,20,115
165,07,21,139
166,07,22,166
167,07,23,118
168,08,00,80
169,08,01,36
170,08,02,24
171,08,03,16
172,08,04,22
173,08,05,137
174,08,06,580
175,08,07,1272
176,08,08,2545
177,08,09,1940
178,08,10,1134
179,08,11,965
180,08,12,1279
181,08,13,1271
182,08,14,1443
183,08,15,1580
184,08,16,2094
185,08,17,3279
186,08,18,3066
187,08,19,2110
188,08,20,1449
189,08,21,1015
190,08,22,673
191,08,23,431
192,09,00,262
193,09,01,118
194,09,02,54
195,09,03,29
196,09,04,42
197,09,05,252
198,09,06,931
199,09,07,2054
200,09,08,3827
201,09,09,2649
202,09,10,1543
203,09,11,1466
204,09,12,1725
205,09,13,1697
206,09,14,1906
207,09,15,1955
208,09,16,2599
209,09,17,3715
210,09,18,3065
211,09,19,1958
212,09,20,1200
213,09,21,795
214,09,22,574
215,09,23,495
216,10,00,354
217,10,01,190
218,10,02,121
219,10,03,76
220,10,04,76
221,10,05,69
222,10,06,202
223,10,07,455
224,10,08,862
225,10,09,1346
226,10,10,1746
227,10,11,2036
228,10,12,2227
229,10,13,2207
230,10,14,2143
231,10,15,2158
232,10,16,1991
233,10,17,1902
234,10,18,1490
235,10,19,1180
236,10,20,914
237,10,21,629
238,10,22,559
239,10,23,511
240,11,00,320
241,11,01,232
242,11,03,163
243,11,04,101
244,11,05,66
245,11,06,95
246,11,07,264
247,11,08,537
248,11,09,893
249,11,10,1384
250,11,11,1763
251,11,12,2158
252,11,13,2391
253,11,14,2508
254,11,15,2684
255,11,16,2773
256,11,17,2593
257,11,18,2417
258,11,19,1519
259,11,20,1104
260,11,21,772
261,11,22,563
262,11,23,296
263,12,00,182
264,12,01,85
265,12,02,52
266,12,03,51
267,12,04,49
268,12,05,321
269,12,06,1017
270,12,07,2230
271,12,08,3985
272,12,09,2737
273,12,10,1475
274,12,11,1289
275,12,12,1607
276,12,13,1612
277,12,14,1665
278,12,15,1807
279,12,16,2328
280,12,17,3930
281,12,18,4083
282,12,19,2660
283,12,20,1662
284,12,21,978
285,12,22,368
286,12,23,167
287,13,00,81
288,13,01,36
289,13,02,27
290,13,03,13
291,13,04,33
292,13,05,141
293,13,06,436
294,13,07,638
295,13,08,1276
296,13,09,1119
297,13,10,548
298,13,11,543
299,13,12,634
300,13,13,710
301,13,14,1105
302,13,15,1483
303,13,16,2045
304,13,17,3181
305,13,18,3409
306,13,19,2169
307,13,20,1469
308,13,21,983
309,13,22,660
310,13,23,398
311,14,00,179
312,14,01,81
313,14,02,36
314,14,03,38
315,14,04,68
316,14,05,346
317,14,06,987
318,14,07,2148
319,14,08,3970
320,14,09,3017
321,14,10,1514
322,14,11,1369
323,14,12,1618
324,14,13,1617
325,14,14,1662
326,14,15,1847
327,14,16,2229
328,14,17,3801
329,14,18,3679
330,14,19,2176
331,14,20,1342
332,14,21,813
333,14,22,554
334,14,23,286
335,15,00,170
336,15,01,88
337,15,02,42
338,15,03,30
339,15,04,49
340,15,05,321
341,15,06,994
342,15,07,2164
343,15,08,3993
344,15,09,2875
345,15,10,1508
346,15,11,1596
347,15,12,1779
348,15,13,1861
349,15,14,1874
350,15,15,2059
351,15,16,2582
352,15,17,4380
353,15,18,4461
354,15,19,2758
355,15,20,1569
356,15,21,1125
357,15,22,835
358,15,23,459
359,16,00,249
360,16,01,147
361,16,02,72
362,16,03,43
363,16,04,42
364,16,05,274
365,16,06,917
366,16,07,2013
367,16,08,3831
368,16,09,2915
369,16,10,1551
370,16,11,1460
371,16,12,1612
372,16,13,1703
373,16,14,1802
374,16,15,1975
375,16,16,2469
376,16,17,3625
377,16,18,3180
378,16,19,2059
379,16,20,1149
380,16,21,796
381,16,22,599
382,16,23,438
